,zip,year,rolling_12m_avg_tmax,precip_deficit,drought_proxy_ratio,cumulative_acres_burned_prior,fire_frequency_train_window
0,90001,2018,0.0,0.0,0.0,0.0,0.0
1,90001,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
2,90001,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
3,90001,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
4,90002,2018,0.0,0.0,0.0,0.0,0.0
5,90002,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
6,90002,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
7,90002,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
8,90003,2018,0.0,0.0,0.0,0.0,0.0
9,90003,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
10,90003,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
11,90003,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
12,90004,2018,0.0,0.0,0.0,0.0,0.0
13,90004,2019,25.158717357910906,0.0,0.0962828831148523,0.0,0.0
14,90004,2020,23.813006272401434,0.0,0.04417997453135702,0.0,0.0
15,90004,2021,25.716350574712646,162.34999999999997,0.10814276944790852,0.0,0.0
16,90005,2018,0.0,0.0,0.0,0.0,0.0
17,90005,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
18,90005,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
19,90005,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
20,90006,2018,0.0,0.0,0.0,0.0,0.0
21,90006,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
22,90006,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
23,90006,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
24,90007,2018,0.0,0.0,0.0,0.0,0.0
25,90007,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
26,90007,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
27,90007,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
28,90008,2018,0.0,0.0,0.0,0.0,0.0
29,90008,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
30,90008,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
31,90008,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
32,90009,2018,0.0,0.0,0.0,0.0,0.0
33,90009,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
34,90009,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
35,90009,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
36,90010,2018,0.0,0.0,0.0,0.0,0.0
37,90010,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
38,90010,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
39,90010,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
40,90011,2018,0.0,0.0,0.0,0.0,0.0
41,90011,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
42,90011,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
43,90011,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
44,90012,2018,0.0,0.0,0.0,0.0,0.0
45,90012,2019,25.158717357910906,0.0,0.0962828831148523,0.0,0.0
46,90012,2020,23.813006272401434,0.0,0.04417997453135702,0.0,0.0
47,90012,2021,25.716350574712646,162.34999999999997,0.10814276944790852,0.0,0.0
48,90013,2018,0.0,0.0,0.0,0.0,0.0
49,90013,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
50,90013,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
51,90013,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
52,90014,2018,0.0,0.0,0.0,0.0,0.0
53,90014,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
54,90014,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
55,90014,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
56,90015,2018,0.0,0.0,0.0,0.0,0.0
57,90015,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
58,90015,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
59,90015,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
60,90016,2018,0.0,0.0,0.0,0.0,0.0
61,90016,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
62,90016,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
63,90016,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
64,90017,2018,0.0,0.0,0.0,0.0,0.0
65,90017,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
66,90017,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
67,90017,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
68,90018,2018,0.0,0.0,0.0,0.0,0.0
69,90018,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
70,90018,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
71,90018,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
72,90019,2018,0.0,0.0,0.0,0.0,0.0
73,90019,2019,22.31929211469534,0.0,0.11210091468957982,0.0,0.0
74,90019,2020,21.559566692268305,0.0,0.045226697487451874,0.0,0.0
75,90019,2021,22.29854406130268,107.29999999999998,0.09669793608544094,0.0,0.0
76,90020,2018,0.0,0.0,0.0,0.0,0.0
77,90020,2019,25.158717357910906,0.0,0.0962828831148523,0.0,0.0
78,90020,2020,23.813006272401434,0.0,0.04417997453135702,0.0,0.0
79,90020,2021,25.716350574712646,162.34999999999997,0.10814276944790852,0.0,0.0
80,90021,2018,0.0,0.0,0.0,0.0,0.0
