tmax_annual,tmin_annual,prcp_annual,tmax_peak,prcp_min,tmax_dry,tmin_dry,prcp_dry,dry_months_dry,tmax_wet,tmin_wet,prcp_wet,dry_months_wet,fires_last1,fires_last3,acres_last3,years_since_fire
22.31929211469534,14.603904249871993,198.1,26.996774193548383,0.0,24.946021505376343,18.42187096774194,14.7,4,20.44305683563748,11.876785165679175,183.4,3,0,0,0.0,10
21.559566692268305,13.958907450076806,475.7,26.793548387096777,0.0,24.768838709677418,17.418387096774193,1.3,5,19.26722953697608,11.487850559578671,474.4,1,0,0,0.0,10
22.29854406130268,14.032893029291806,229.6,25.53,0.0,24.485548387096777,17.16283870967742,0.0,5,20.7363981143069,11.797217543302082,229.6,3,0,0,0.0,10
20.878252688172044,13.234925115207373,307.3,23.95483870967742,0.0,23.118709677419353,16.468258064516128,15.3,4,19.277926267281106,10.925401579986834,292.0,4,0,0,0.0,10
22.31929211469534,14.603904249871993,198.1,26.996774193548383,0.0,24.946021505376343,18.42187096774194,14.7,4,20.44305683563748,11.876785165679175,183.4,3,0,0,0.0,10
21.559566692268305,13.958907450076806,475.7,26.793548387096777,0.0,24.768838709677418,17.418387096774193,1.3,5,19.26722953697608,11.487850559578671,474.4,1,0,0,0.0,10
22.29854406130268,14.032893029291806,229.6,25.53,0.0,24.485548387096777,17.16283870967742,0.0,5,20.7363981143069,11.797217543302082,229.6,3,0,0,0.0,10
20.878252688172044,13.234925115207373,307.3,23.95483870967742,0.0,23.118709677419353,16.468258064516128,15.3,4,19.277926267281106,10.925401579986834,292.0,4,0,0,0.0,10
22.31929211469534,14.603904249871993,198.1,26.996774193548383,0.0,24.946021505376343,18.42187096774194,14.7,4,20.44305683563748,11.876785165679175,183.4,3,0,0,0.0,10
21.559566692268305,13.958907450076806,475.7,26.793548387096777,0.0,24.768838709677418,17.418387096774193,1.3,5,19.26722953697608,11.487850559578671,474.4,1,0,0,0.0,10
22.29854406130268,14.032893029291806,229.6,25.53,0.0,24.485548387096777,17.16283870967742,0.0,5,20.7363981143069,11.797217543302082,229.6,3,0,0,0.0,10
