zip,year,tmax_annual,tmin_annual,prcp_annual,tmax_peak,prcp_min,tmax_dry,tmin_dry,prcp_dry,dry_months_dry,tmax_wet,tmin_wet,prcp_wet,dry_months_wet,fires_last1,fires_last3,acres_last3,years_since_fire
90001,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90002,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90003,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90004,2023,24.948378318281335,12.772313290119532,333.275,32.714462365591395,0.0,29.886177419354837,17.03958064516129,7.675,4.5,21.42137896037169,9.724265179375422,325.6,2.75,0,0,0.0,10
90005,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90006,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90007,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90008,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90009,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90010,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90011,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90012,2023,24.948378318281335,12.772313290119532,333.275,32.714462365591395,0.0,29.886177419354837,17.03958064516129,7.675,4.5,21.42137896037169,9.724265179375422,325.6,2.75,0,0,0.0,10
90013,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90014,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90015,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90016,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90017,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
90018,2023,21.763913889109592,13.957657461111994,302.675,25.818790322580647,0.0,24.329779569892473,17.36783870967742,7.825,4.5,19.93115268855039,11.52181371213669,294.85,2.75,0,0,0.0,10
